label,market,order_region,shipping_mode,category_name,order_month,order_day_of_week
1,LATAM,South America,Standard Class,Women's Apparel,3,2
0,LATAM,Caribbean,Standard Class,Women's Apparel,4,2
1,LATAM,Central America,Standard Class,Women's Apparel,3,4
0,LATAM,Central America,Standard Class,Shop By Sport,6,5
0,LATAM,Central America,Standard Class,Women's Apparel,5,6
1,LATAM,South America,Standard Class,Women's Apparel,2,2
0,LATAM,South America,Standard Class,Women's Apparel,5,7
1,LATAM,Central America,Standard Class,Electronics,4,1
0,LATAM,Central America,Standard Class,Electronics,2,5
1,LATAM,Central America,Standard Class,Kids' Golf Clubs,5,2
0,LATAM,Caribbean,Standard Class,Hunting & Shooting,4,6
0,LATAM,South America,Standard Class,Baseball & Softball,5,7
1,LATAM,Central America,Standard Class,Cardio Equipment,5,3
0,LATAM,Central America,Standard Class,Cardio Equipment,2,6
1,LATAM,South America,Standard Class,Cardio Equipment,2,7
0,LATAM,Central America,Standard Class,Cardio Equipment,5,2
1,LATAM,South America,Standard Class,Cardio Equipment,3,6
0,LATAM,Central America,Standard Class,Cardio Equipment,5,2
1,LATAM,Central America,Standard Class,Cardio Equipment,5,1
1,LATAM,Central America,Standard Class,Cardio Equipment,4,5
0,LATAM,South America,Standard Class,Cardio Equipment,5,7
0,LATAM,South America,Standard Class,Boxing & MMA,6,5
0,LATAM,Central America,Standard Class,Cleats,3,3
0,LATAM,Central America,Standard Class,Cleats,2,1
1,LATAM,Central America,Standard Class,Cleats,1,3
0,LATAM,South America,Standard Class,Cleats,2,5
1,LATAM,Central America,Standard Class,Cleats,5,7
1,LATAM,Central America,Standard Class,Cleats,2,1
1,LATAM,Central America,Standard Class,Cleats,1,1
1,Africa,Central Africa,Second Class,Cardio Equipment,1,7
1,Africa,North Africa,Second Class,Men's Footwear,11,5
1,Africa,East Africa,Second Class,Men's Footwear,9,5
1,Africa,North Africa,Second Class,Men's Footwear,8,3
1,Africa,North Africa,Second Class,Cleats,11,5
1,Africa,West Africa,Second Class,Men's Footwear,10,3
1,Africa,North Africa,Second Class,Camping & Hiking,11,2
1,Africa,North Africa,Second Class,Camping & Hiking,8,3
1,Europe,Southern Europe,Second Class,Consumer Electronics,11,2
1,Europe,Western Europe,Second Class,Cameras ,10,4
1,Europe,Western Europe,Second Class,Consumer Electronics,11,3
1,Europe,Western Europe,Second Class,Cameras ,10,1
1,Europe,Western Europe,Second Class,Consumer Electronics,11,2
1,Europe,Southern Europe,Second Class,Cameras ,10,5
1,Europe,Western Europe,Second Class,Consumer Electronics,11,4
1,Europe,Northern Europe,Second Class,Computers,11,6
0,Europe,Western Europe,Second Class,Cameras ,10,1
1,Europe,Western Europe,Second Class,Cameras ,10,7
1,Europe,Northern Europe,Second Class,Computers,11,7
1,Europe,Southern Europe,Second Class,Cameras ,10,3
0,Europe,Northern Europe,Second Class,Consumer Electronics,11,1
1,Europe,Southern Europe,Second Class,Cameras ,10,7
1,Europe,Southern Europe,Second Class,Consumer Electronics,11,4
1,Europe,Western Europe,Second Class,Computers,10,3
0,Europe,Southern Europe,Second Class,Cameras ,10,1
1,Europe,Western Europe,Second Class,Consumer Electronics,11,3
1,Europe,Northern Europe,Second Class,Cameras ,10,7
1,Europe,Western Europe,Second Class,Consumer Electronics,11,7
1,Europe,Western Europe,Second Class,Cameras ,10,2
1,Europe,Northern Europe,Second Class,Consumer Electronics,11,3
1,Europe,Southern Europe,Second Class,Consumer Electronics,11,2
1,Europe,Western Europe,Second Class,Consumer Electronics,11,3
1,Europe,Northern Europe,Second Class,Cameras ,10,3
1,Europe,Southern Europe,Second Class,Cameras ,10,7
1,Europe,Western Europe,Second Class,Consumer Electronics,11,5
1,Europe,Northern Europe,Second Class,Computers,10,3
0,Europe,Northern Europe,Second Class,Cameras ,10,6
1,Europe,Western Europe,Second Class,Basketball,10,7
1,Europe,Southern Europe,Second Class,Soccer,9,4
1,Europe,Northern Europe,Second Class,Baseball & Softball,9,4
1,Europe,Northern Europe,Second Class,Electronics,10,3
1,Europe,Western Europe,Second Class,Cardio Equipment,8,1
1,Europe,Northern Europe,Second Class,Cardio Equipment,8,6
1,Europe,Western Europe,Second Class,Electronics,9,1
1,Europe,Western Europe,Second Class,Cardio Equipment,10,4
1,Europe,Western Europe,Second Class,Cardio Equipment,7,5
0,USCA,US Center ,Standard Class,Electronics,5,6
0,USCA,West of USA ,Standard Class,Cardio Equipment,4,5
0,USCA,West of USA ,Standard Class,Cardio Equipment,8,7
0,USCA,West of USA ,Standard Class,Cardio Equipment,4,5
0,USCA,West of USA ,Standard Class,Cleats,5,6
0,USCA,West of USA ,Standard Class,Cleats,5,1
0,USCA,East of USA,Standard Class,Cleats,4,1
0,USCA,US Center ,Standard Class,Shop By Sport,7,1
0,USCA,East of USA,Standard Class,Girls' Apparel,4,1
0,USCA,Canada,Standard Class,Women's Apparel,12,6
0,USCA,US Center ,Standard Class,Women's Apparel,5,6
0,USCA,Canada,Standard Class,Women's Apparel,12,6
0,USCA,Canada,Standard Class,Shop By Sport,9,7
0,USCA,East of USA,Standard Class,Shop By Sport,7,6
0,USCA,US Center ,Standard Class,Accessories,7,5
0,USCA,US Center ,Standard Class,Trade-In,7,3
0,Africa,East Africa,Standard Class,Cleats,9,1
0,Africa,North Africa,Standard Class,Cleats,9,5
0,Africa,West Africa,Standard Class,Women's Apparel,1,6
0,Africa,West Africa,Standard Class,Shop By Sport,1,6
0,Africa,North Africa,Standard Class,Women's Apparel,10,2
0,Africa,West Africa,Standard Class,Accessories,9,2
0,Africa,East Africa,Standard Class,Cardio Equipment,9,1
0,Africa,North Africa,Standard Class,Cleats,10,2
1,Africa,North Africa,Standard Class,Cleats,1,5
1,Africa,West Africa,Standard Class,Cleats,10,7
0,Africa,North Africa,Standard Class,Cleats,9,5
1,Africa,North Africa,Standard Class,Cleats,1,4
1,Africa,West Africa,Standard Class,Women's Apparel,1,3
1,Africa,North Africa,Standard Class,Women's Apparel,8,3
0,Africa,West Africa,Standard Class,Shop By Sport,9,6
1,Africa,North Africa,Standard Class,Shop By Sport,12,7
0,Africa,Southern Africa,Standard Class,Girls' Apparel,9,2
0,Africa,North Africa,Standard Class,Women's Apparel,11,4
0,Africa,North Africa,Standard Class,Women's Apparel,9,6
1,Africa,West Africa,Standard Class,Women's Apparel,11,5
0,Africa,West Africa,Standard Class,Accessories,12,2
1,Africa,East Africa,Standard Class,Cardio Equipment,1,5
1,Africa,Southern Africa,Standard Class,Cardio Equipment,11,5
0,Africa,East Africa,Standard Class,Cardio Equipment,9,3
0,Africa,East Africa,Standard Class,Cardio Equipment,11,5
1,Africa,East Africa,Standard Class,Cardio Equipment,12,6
1,Africa,East Africa,Standard Class,Cardio Equipment,12,6
0,Africa,North Africa,Standard Class,Cardio Equipment,11,5
0,Africa,Southern Africa,Standard Class,Cardio Equipment,11,7
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,9,6
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,9,2
0,Pacific Asia,Oceania,Standard Class,Cleats,2,7
0,Pacific Asia,Oceania,Standard Class,Men's Footwear,1,1
0,Pacific Asia,Oceania,Standard Class,Men's Footwear,3,2
1,Pacific Asia,Oceania,Standard Class,Men's Footwear,1,5
1,Pacific Asia,Oceania,Standard Class,Women's Clothing,2,6
0,Pacific Asia,South Asia,Standard Class,Men's Footwear,1,5
0,Pacific Asia,South Asia,Standard Class,Men's Footwear,2,3
1,Pacific Asia,Southeast Asia,Standard Class,Men's Footwear,12,5
1,Pacific Asia,Southeast Asia,Standard Class,Men's Footwear,12,5
0,Pacific Asia,West Asia,Standard Class,Cleats,9,4
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,9,2
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,12,6
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,11,3
0,Pacific Asia,Eastern Asia,Standard Class,Crafts,12,6
0,Pacific Asia,Eastern Asia,Standard Class,Men's Footwear,2,3
0,Pacific Asia,Oceania,Standard Class,Cleats,3,6
0,Pacific Asia,Oceania,Standard Class,Men's Footwear,3,4
0,Pacific Asia,Oceania,Standard Class,Men's Footwear,3,6
1,Pacific Asia,South Asia,Standard Class,Men's Footwear,11,2
1,Pacific Asia,Southeast Asia,Standard Class,Men's Footwear,12,7
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,12,6
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,9,4
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,11,3
1,Pacific Asia,Central Asia,Standard Class,Men's Footwear,9,2
0,Pacific Asia,Eastern Asia,Standard Class,Men's Footwear,11,7
0,Pacific Asia,Eastern Asia,Standard Class,Men's Footwear,12,4
0,Pacific Asia,Eastern Asia,Standard Class,Men's Footwear,1,2
0,Pacific Asia,Eastern Asia,Standard Class,Women's Clothing,12,2
1,Pacific Asia,Oceania,Standard Class,Cleats,3,2
0,Pacific Asia,Oceania,Standard Class,Men's Footwear,3,7
0,Pacific Asia,Oceania,Standard Class,Men's Footwear,2,4
0,Pacific Asia,Oceania,Standard Class,Women's Clothing,1,3
0,Pacific Asia,South Asia,Standard Class,Men's Footwear,12,3
1,Pacific Asia,South Asia,Standard Class,Men's Footwear,1,1
1,Pacific Asia,South Asia,Standard Class,Women's Clothing,12,2
0,Pacific Asia,Southeast Asia,Standard Class,Crafts,12,7
0,Pacific Asia,Southeast Asia,Standard Class,Men's Footwear,1,6
0,Pacific Asia,Southeast Asia,Standard Class,Women's Clothing,2,6
0,Pacific Asia,West Asia,Standard Class,Men's Footwear,9,7
1,Pacific Asia,West Asia,Standard Class,Men's Footwear,11,3
0,Pacific Asia,Central Asia,Standard Class,Men's Footwear,12,7
0,Pacific Asia,Eastern Asia,Standard Class,Cleats,3,7
0,Pacific Asia,Eastern Asia,Standard Class,Men's Clothing,11,3
0,Africa,West Africa,Standard Class,Women's Apparel,12,4
0,Africa,West Africa,Standard Class,Women's Apparel,10,6
0,Africa,West Africa,Standard Class,Shop By Sport,10,7
0,Africa,Central Africa,Standard Class,Shop By Sport,11,5
1,Africa,West Africa,Standard Class,Women's Apparel,10,4
0,Africa,Central Africa,Standard Class,Women's Apparel,9,4
1,Africa,Central Africa,Standard Class,Women's Apparel,11,7
0,Africa,West Africa,Standard Class,Women's Apparel,11,3
0,Africa,East Africa,Standard Class,Women's Apparel,11,3
1,Africa,East Africa,Standard Class,Women's Apparel,12,5
1,Africa,West Africa,Standard Class,Women's Apparel,10,6
0,Africa,Central Africa,Standard Class,Women's Apparel,10,2
1,Africa,Central Africa,Standard Class,Shop By Sport,10,4
1,Africa,West Africa,Standard Class,Women's Apparel,12,7
1,Africa,Southern Africa,Standard Class,Accessories,9,5
1,Africa,West Africa,Standard Class,Accessories,10,1
0,Africa,East Africa,Standard Class,Accessories,10,5
1,Africa,West Africa,Standard Class,Trade-In,11,3
1,Africa,West Africa,Standard Class,Trade-In,10,2
0,Africa,North Africa,Standard Class,Electronics,12,7
0,Africa,North Africa,Standard Class,Hunting & Shooting,9,7
0,Africa,West Africa,Standard Class,Tennis & Racquet,12,2
0,Africa,North Africa,Standard Class,Cardio Equipment,10,2
0,Africa,East Africa,Standard Class,Cleats,9,5
0,Africa,North Africa,Standard Class,Shop By Sport,10,5
1,Africa,Southern Africa,Standard Class,Women's Apparel,9,1
1,Africa,Southern Africa,Standard Class,Electronics,1,4
1,Europe,Western Europe,Standard Class,Baseball & Softball,10,2
1,Europe,Eastern Europe,Standard Class,Fitness Accessories,10,4
0,Europe,Western Europe,Standard Class,Cardio Equipment,8,5
0,Europe,Southern Europe,Standard Class,Electronics,8,2
1,Europe,Western Europe,Standard Class,Cardio Equipment,8,1
0,Europe,Western Europe,Standard Class,Cardio Equipment,7,2
0,Europe,Western Europe,Standard Class,Cardio Equipment,9,7
0,Europe,Western Europe,Standard Class,Cardio Equipment,6,6
1,Europe,Western Europe,Standard Class,Electronics,6,7
1,Europe,Southern Europe,Standard Class,Cardio Equipment,7,4
0,Europe,Southern Europe,Standard Class,Cardio Equipment,9,7
0,Europe,Eastern Europe,Standard Class,Cardio Equipment,11,1
1,Europe,Southern Europe,Standard Class,Cardio Equipment,7,6
0,Europe,Western Europe,Standard Class,Cardio Equipment,9,6
1,Europe,Western Europe,Standard Class,Fitness Accessories,10,5
1,Europe,Southern Europe,Standard Class,Fitness Accessories,10,6
1,Europe,Northern Europe,Standard Class,As Seen on  TV!,9,5
1,Europe,Eastern Europe,Standard Class,Cardio Equipment,11,3
0,LATAM,Central America,Standard Class,Cleats,3,5
1,LATAM,South America,Standard Class,Cleats,6,4
0,LATAM,Central America,Standard Class,Cleats,2,5
0,LATAM,Central America,Standard Class,Cleats,4,2
1,LATAM,South America,Standard Class,Cleats,2,5
0,LATAM,South America,Standard Class,Women's Apparel,2,1
0,LATAM,South America,Standard Class,Women's Apparel,3,3
0,LATAM,Central America,Standard Class,Women's Apparel,5,3
0,LATAM,South America,Standard Class,Shop By Sport,4,3
0,LATAM,Central America,Standard Class,Women's Apparel,3,3
0,LATAM,Caribbean,Standard Class,Women's Apparel,5,5
0,LATAM,Central America,Standard Class,Shop By Sport,5,2
1,LATAM,Caribbean,Standard Class,Shop By Sport,2,4
1,LATAM,Central America,Standard Class,Shop By Sport,5,1
1,LATAM,South America,Standard Class,Women's Apparel,2,7
1,LATAM,Central America,Standard Class,Girls' Apparel,2,4
1,LATAM,Central America,Standard Class,Girls' Apparel,3,6
0,LATAM,Central America,Standard Class,Women's Apparel,2,5
0,LATAM,Central America,Standard Class,Women's Apparel,4,2
1,LATAM,South America,Standard Class,Shop By Sport,4,7
0,LATAM,Central America,Standard Class,Shop By Sport,4,2
0,LATAM,Central America,Standard Class,Shop By Sport,4,4
0,LATAM,Central America,Standard Class,Women's Apparel,3,5
0,LATAM,South America,Standard Class,Shop By Sport,1,6
0,LATAM,South America,Standard Class,Women's Apparel,2,3
1,LATAM,South America,Standard Class,Women's Apparel,2,1
0,LATAM,Caribbean,Standard Class,Shop By Sport,6,6
0,LATAM,Central America,Standard Class,Women's Apparel,4,7
0,LATAM,Central America,Standard Class,Women's Apparel,3,3
0,LATAM,Central America,Standard Class,Women's Apparel,5,1
0,LATAM,Central America,Standard Class,Shop By Sport,6,1
0,LATAM,Central America,Standard Class,Girls' Apparel,2,7
0,LATAM,South America,Standard Class,Shop By Sport,2,4
1,LATAM,South America,Standard Class,Shop By Sport,3,2
1,LATAM,South America,Standard Class,Women's Apparel,2,5
0,LATAM,Central America,Standard Class,Women's Apparel,2,7
0,LATAM,South America,Standard Class,Women's Apparel,3,6
0,LATAM,Central America,Standard Class,Shop By Sport,4,7
1,LATAM,Central America,Standard Class,Shop By Sport,2,7
0,LATAM,Central America,Standard Class,Women's Apparel,6,6
1,LATAM,Central America,Standard Class,Electronics,5,1
0,LATAM,South America,Standard Class,Accessories,3,7
1,LATAM,South America,Standard Class,Golf Balls,5,5
1,LATAM,South America,Standard Class,Electronics,5,3
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,1
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,5
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,4
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,1
1,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,5
1,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,4
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,1
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,1
1,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,5
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,4
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,1
1,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,5
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,4
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,2
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,1
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,1
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,1
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,1
0,Pacific Asia,Southeast Asia,Same Day,Sporting Goods,1,6
0,Pacific Asia,Southeast Asia,Same Day,Sporting Goods,1,6
0,Pacific Asia,Oceania,Same Day,Sporting Goods,1,6
1,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,4
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,3
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,1
1,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,5
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,Oceania,Second Class,Sporting Goods,1,3
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,1
1,Pacific Asia,Southeast Asia,First Class,Sporting Goods,1,1
1,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,4
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,3
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,1
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,5
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,South Asia,Second Class,Sporting Goods,1,3
0,Pacific Asia,South Asia,Second Class,Sporting Goods,1,2
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,1
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,5
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,3
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,1
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,5
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,4
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,1
1,Pacific Asia,Southeast Asia,First Class,Sporting Goods,1,1
0,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,1
1,Pacific Asia,South Asia,Second Class,Sporting Goods,1,5
1,Pacific Asia,South Asia,Second Class,Sporting Goods,1,3
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,7
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,7
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,7
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,1
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,7
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,1
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,7
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,1
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,7
1,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,3
1,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,2
1,Pacific Asia,Oceania,Second Class,Sporting Goods,1,1
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,7
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,4
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,3
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,2
1,Pacific Asia,Eastern Asia,Same Day,Sporting Goods,1,6
1,Pacific Asia,Eastern Asia,Same Day,Sporting Goods,1,6
1,Pacific Asia,Oceania,Same Day,Sporting Goods,1,6
1,Pacific Asia,Oceania,Same Day,Sporting Goods,1,6
1,Pacific Asia,Oceania,Same Day,Sporting Goods,1,6
0,Pacific Asia,Oceania,Same Day,Sporting Goods,1,6
1,Pacific Asia,South Asia,Same Day,Sporting Goods,1,6
